#{"t_start": 1771810117.211668, "env_id": "None"}
r,l,t
0.00711,1,0.061816
0.016394,1,0.131699
0.629182,1,0.187088
0.000306,1,0.253507
0.267732,1,0.302874
0.165521,1,0.346084
0.631595,1,0.39876
0.034823,1,0.458474
3.711543,1,0.530941
3.252916,1,0.57204
0.11986,1,0.612403
0.209885,1,0.659377
0.035083,1,0.709757
5.8712,1,0.756224
0.152745,1,0.85638
4.501388,1,0.898069
0.056225,1,0.947392
0.905661,1,0.997538
20.0,1,1.031448
1.980356,1,1.092373
0.000205,1,1.158472
0.046417,1,1.196303
0.386026,1,1.257103
2.484502,1,1.312123
2.826621,1,1.368048
0.554273,1,1.410187
20.0,1,1.455754
20.0,1,1.521194
0.736889,1,1.573035
0.316377,1,1.641059
0.220323,1,1.691999
0.002033,1,1.738595
0.171327,1,1.780917
0.153075,1,1.84521
0.001239,1,1.887583
0.000216,1,1.92506
20.0,1,1.979675
0.31602,1,2.051226
0.488852,1,2.089731
0.049993,1,2.151971
20.0,1,2.18093
20.0,1,2.239176
5.778702,1,2.295475
0.516127,1,2.362854
0.27269,1,2.424766
0.011217,1,2.476324
4.802709,1,2.51009
0.045108,1,2.577126
0.028942,1,2.640516
2.694244,1,2.691013
0.68321,1,2.733507
0.081149,1,2.775292
0.062226,1,2.825894
4.681268,1,2.88085
0.040632,1,2.951069
0.013575,1,3.008687
0.014056,1,3.067114
0.003539,1,3.109192
4.280061,1,3.149218
4.964455,1,3.199517
0.308834,1,3.254302
20.0,1,3.314246
0.007358,1,3.352238
20.0,1,3.405292
20.0,1,3.452282
0.16489,1,3.508695
0.068597,1,3.552543
0.262718,1,3.609066
1.692478,1,3.673873
0.013859,1,3.722202
20.0,1,3.766906
1.594871,1,3.822691
0.102389,1,3.883014
1.073373,1,3.926013
0.008585,1,3.982334
0.01718,1,4.031138
20.0,1,4.10532
0.00252,1,4.14466
0.000328,1,4.19363
1.222598,1,4.246462
0.809492,1,4.315229
0.820946,1,4.372127
4.47006,1,4.424109
20.0,1,4.471865
1.765489,1,4.517503
0.450725,1,4.572142
4.270927,1,4.6283
0.149236,1,4.693982
20.0,1,4.727094
0.131384,1,4.797336
0.000287,1,4.818003
0.209233,1,4.878209
2.524634,1,4.950012
0.004029,1,4.990358
2.604654,1,5.049696
0.590303,1,5.098449
0.294354,1,5.155796
20.0,1,5.196916
0.352181,1,5.257521
5.935637,1,5.306507
0.798051,1,5.367055
0.558474,1,5.436782
5.331402,1,5.478595
0.022368,1,5.546578
0.804875,1,5.595602
20.0,1,5.653803
0.014599,1,5.696929
20.0,1,5.74735
0.351534,1,5.811222
0.10823,1,5.856705
1.062597,1,5.886433
20.0,1,5.936881
4.882303,1,5.991324
1.071219,1,6.04768
5.440272,1,6.106665
5.369753,1,6.168855
0.078493,1,6.207567
0.029027,1,6.245477
0.049064,1,6.312685
0.302173,1,6.378433
0.043576,1,6.419354
0.00469,1,6.466915
20.0,1,6.515079
5.86852,1,6.564643
0.042812,1,6.616292
20.0,1,6.667674
0.55076,1,6.711606
0.068516,1,6.77948
20.0,1,6.820161
0.720672,1,6.87771
0.973563,1,6.931007
0.150369,1,6.973047
20.0,1,7.012891
20.0,1,7.062398
0.229339,1,7.127336
3.769778,1,7.191708
1.935526,1,7.23767
0.733646,1,7.302037
1.161155,1,7.343101
2.931363,1,7.408385
0.014595,1,7.457094
4.701542,1,7.498616
20.0,1,7.531511
0.119994,1,7.595929
20.0,1,7.630636
0.288992,1,7.676123
0.01713,1,7.756649
5.719349,1,7.787076
5.799215,1,7.858712
1.270327,1,7.897166
0.015329,1,7.960753
0.008307,1,7.985226
0.015294,1,8.043705
4.939965,1,8.107046
0.000212,1,8.139229
0.000867,1,8.191079
0.110403,1,8.261889
5.920683,1,8.311333
0.025051,1,8.357024
0.120826,1,8.411773
20.0,1,8.459551
20.0,1,8.496848
0.737059,1,8.562843
1.062401,1,8.618265
1.209774,1,8.653627
20.0,1,8.716505
3.008306,1,8.76709
0.328381,1,8.816978
20.0,1,8.863408
20.0,1,8.902201
0.590786,1,8.973549
0.050999,1,9.029133
0.337966,1,9.061355
20.0,1,9.118922
20.0,1,9.179873
0.065716,1,9.211808
20.0,1,9.275217
0.000751,1,9.34664
1.558556,1,9.383746
0.466483,1,9.442421
3.520562,1,9.491896
0.03299,1,9.532176
0.002078,1,9.60045
20.0,1,9.637377
20.0,1,9.701842
0.014577,1,9.747668
0.010013,1,9.790573
1.372284,1,9.840423
0.067877,1,9.910441
0.02693,1,9.981048
1.130071,1,10.018568
0.011599,1,10.074236
20.0,1,10.113202
4.790296,1,10.171708
5.820089,1,10.234356
0.002053,1,10.27446
2.490973,1,10.344322
0.339384,1,10.363468
20.0,1,10.41983
20.0,1,10.48213
0.983637,1,10.541497
0.018123,1,10.58953
20.0,1,10.653104
0.077354,1,10.704123
3.146507,1,10.763582
0.000603,1,10.836899
0.311141,1,10.87814
0.555888,1,10.934961
20.0,1,10.968229
0.648405,1,11.029064
0.055927,1,11.079996
4.685463,1,11.107026
0.115674,1,11.191799
5.99432,1,11.249272
0.29609,1,11.300485
0.000907,1,11.351327
1.314001,1,11.412335
2.943278,1,11.455267
5.584372,1,11.501432
1.251305,1,11.564567
3.483916,1,11.602004
0.033145,1,11.660767
0.093258,1,11.708542
20.0,1,11.763003
0.031429,1,11.830269
5.027369,1,11.874384
0.097224,1,11.930933
0.587505,1,11.978996
0.000732,1,12.034735
0.043119,1,12.095777
2.696635,1,12.129108
0.893004,1,12.190405
1.738666,1,12.233187
1.220626,1,12.295194
0.039892,1,12.341277
0.002817,1,12.40565
1.866339,1,12.451457
0.056392,1,12.499039
0.00037,1,12.551301
2.783184,1,12.617518
